#Millis,TC1Internal(C),TC1External(C),TC2Internal(C),TC2External(C)
39681,27.69,95.25,27.31,26.75
39787,27.69,95.25,27.31,26.75
39894,27.62,95.25,27.31,26.75
39999,27.62,95.25,27.25,26.75
40105,27.69,95.25,27.25,26.75
40212,27.69,95.25,27.31,26.75
40318,27.62,95.25,27.25,26.75
40424,27.69,95.25,27.31,26.75
40530,27.62,95.25,27.25,26.75
40637,27.62,95.25,27.25,26.75
40743,27.62,95.25,27.25,26.75
40849,27.62,95.25,27.25,26.75
40955,27.62,95.00,27.31,26.75
41062,27.69,95.25,27.25,27.00
41168,27.62,95.25,27.31,26.75
41274,27.62,95.25,27.31,26.75
41380,27.69,95.50,27.31,26.75
41487,27.62,95.25,27.31,26.75
41593,27.62,95.25,27.25,26.75
41699,27.69,95.50,27.31,26.75
41805,27.62,95.25,27.31,26.75
41912,27.62,95.25,27.25,26.75
42018,27.62,95.25,27.31,26.75
42125,27.69,95.25,27.25,26.75
42230,27.69,95.25,27.25,26.75
42337,27.69,95.25,27.31,26.75
42443,27.62,95.25,27.31,26.75
42550,27.62,95.00,27.31,26.75
42655,27.69,94.75,27.25,26.75
42762,27.62,94.75,27.25,26.75
42868,27.62,95.00,27.31,26.75
42975,27.69,95.00,27.31,26.75
43080,27.62,94.75,27.31,26.75
43187,27.62,94.75,27.31,26.75
43293,27.69,95.00,27.31,26.75
43400,27.69,95.00,27.25,26.75
43505,27.69,95.00,27.25,26.75
43612,27.69,95.00,27.31,26.75
43718,27.69,95.25,27.25,26.75
43825,27.69,95.25,27.25,26.75
43930,27.69,95.25,27.25,26.75
44037,27.62,95.25,27.31,26.75
44143,27.62,95.00,27.25,26.75
44250,27.62,95.00,27.31,26.75
44355,27.62,95.00,27.25,26.75
44462,27.62,94.75,27.25,26.75
44568,27.62,94.75,27.31,26.75
44675,27.62,94.75,27.25,26.75
44780,27.69,94.75,27.31,26.75
44887,27.62,94.50,27.25,26.75
44993,27.62,94.50,27.25,26.75
45100,27.62,94.75,27.31,26.75
45205,27.62,94.75,27.31,26.75
45312,27.62,95.00,27.31,26.75
45418,27.62,95.00,27.25,26.75
45524,27.69,95.00,27.25,26.75
45630,27.62,95.00,27.25,26.75
45736,27.62,95.00,27.31,26.75
45843,27.69,95.00,27.25,26.75
45949,27.62,94.75,27.31,26.75
46055,27.62,95.00,27.31,26.75
46161,27.62,94.75,27.25,26.75
46268,27.62,94.75,27.31,26.75
46374,27.62,95.00,27.31,26.75
46480,27.62,95.00,27.31,26.75
46586,27.69,95.25,27.25,26.75
46693,27.69,95.00,27.31,27.00
46799,27.62,94.75,27.31,26.75
46905,27.62,94.50,27.31,26.75
47011,27.62,94.50,27.31,26.75
47118,27.62,94.50,27.31,26.75
47224,27.62,94.75,27.31,26.75
47330,27.62,94.75,27.25,26.75
47436,27.62,94.75,27.31,26.75
47543,27.62,94.50,27.31,26.75
47649,27.62,94.50,27.31,27.00
47755,27.62,94.75,27.25,26.75
47861,27.69,95.00,27.25,26.75
47968,27.62,95.00,27.25,26.75
48074,27.62,95.25,27.25,26.75
48180,27.62,95.25,27.31,26.75
48286,27.62,95.25,27.31,26.75
48393,27.69,95.25,27.31,26.75
48499,27.69,95.25,27.31,26.75
48605,27.62,95.25,27.25,26.75
48711,27.62,95.00,27.25,26.75
48818,27.62,95.00,27.25,26.75
48924,27.69,95.00,27.31,26.75
49030,27.62,95.00,27.25,26.75
49136,27.69,95.00,27.25,26.75
49243,27.62,94.75,27.31,26.75
49349,27.62,94.50,27.25,26.75
49455,27.62,94.50,27.25,26.75
49561,27.62,94.50,27.31,26.75
49668,27.62,94.50,27.25,26.75
49774,27.62,94.50,27.25,26.75
49881,27.69,94.50,27.25,26.75
49986,27.62,94.50,27.31,26.75
50093,27.62,94.50,27.25,26.75
50199,27.62,94.50,27.25,26.75
50306,27.62,94.50,27.31,26.75
50411,27.62,94.50,27.31,26.75
50518,27.62,94.50,27.31,26.75
50624,27.62,94.50,27.25,26.75
50731,27.62,94.50,27.31,26.75
50836,27.62,94.50,27.31,26.75
50942,27.56,94.50,27.31,26.75
51049,27.56,94.50,27.31,26.75
51155,27.69,94.75,27.31,26.75
51261,27.69,94.50,27.31,26.75
51367,27.62,94.75,27.25,26.75
51474,27.62,94.50,27.31,26.75
51580,27.62,94.50,27.25,26.75
51686,27.69,94.75,27.25,26.75
51792,27.69,94.50,27.31,26.75
51899,27.62,94.50,27.31,26.75
52005,27.62,94.50,27.25,26.75
52111,27.62,94.50,27.25,26.75
52217,27.62,94.50,27.25,26.75
52324,27.62,94.50,27.31,26.75
52430,27.62,94.50,27.31,26.75
52536,27.62,94.75,27.31,26.75
52642,27.62,94.75,27.25,26.75
52749,27.62,94.75,27.31,26.75
52855,27.62,94.50,27.25,26.75
52961,27.62,94.50,27.31,26.75
53067,27.62,94.50,27.25,26.75
53174,27.62,94.25,27.25,26.75
53280,27.62,94.25,27.25,26.75
53386,27.62,94.25,27.31,26.75
53492,27.62,94.00,27.25,26.75
53599,27.62,94.00,27.25,26.75
53705,27.62,94.00,27.25,26.75
53811,27.62,94.25,27.25,26.75
53917,27.62,94.25,27.31,26.75
54024,27.62,94.00,27.25,26.75
54130,27.62,94.00,27.25,26.75
54236,27.62,94.00,27.25,26.75
54342,27.62,94.00,27.25,26.75
54449,27.56,94.25,27.25,26.75
54555,27.62,94.25,27.25,26.75
54661,27.62,94.25,27.25,26.75
54767,27.62,94.25,27.25,26.75
54874,27.62,94.25,27.31,26.75
54980,27.62,94.25,27.25,26.75
55086,27.62,94.50,27.31,26.75
55192,27.62,94.50,27.25,26.75
55299,27.62,94.25,27.25,26.75
55405,27.62,94.50,27.31,26.75
55511,27.62,94.50,27.25,26.75
55617,27.62,94.25,27.25,26.75
55724,27.62,94.00,27.25,26.75
55830,27.56,93.75,27.25,26.75
55936,27.62,93.75,27.25,26.75
56042,27.62,93.75,27.31,26.75
56148,27.62,93.75,27.25,26.75
56255,27.62,94.00,27.31,27.00
56360,27.62,94.00,27.25,26.75
56467,27.62,94.25,27.25,26.75
56573,27.62,94.50,27.31,26.75
56680,27.62,94.50,27.25,26.75
56785,27.62,94.50,27.25,26.75
56892,27.62,94.75,27.31,26.75
56998,27.62,94.50,27.25,26.75
57105,27.56,94.50,27.31,26.75
57210,27.69,94.75,27.25,26.75
57317,27.62,94.50,27.25,26.75
57423,27.62,94.50,27.31,26.75
57530,27.62,94.50,27.25,26.75
57635,27.62,94.50,27.25,26.75
57742,27.62,94.50,27.25,26.75
57848,27.62,94.25,27.25,26.75
57955,27.62,94.25,27.25,26.75
58060,27.62,94.25,27.31,26.75
58167,27.62,94.25,27.31,26.75
58273,27.62,94.25,27.25,26.75
58380,27.62,94.25,27.25,26.75
58486,27.62,94.25,27.31,26.75
58592,27.56,94.25,27.25,26.75
58698,27.62,94.25,27.25,26.75
58805,27.62,94.25,27.25,26.75
58911,27.62,94.50,27.25,26.75
59017,27.62,94.25,27.25,26.75
59123,27.62,94.25,27.31,26.75
59230,27.62,94.25,27.25,26.75
59336,27.62,94.25,27.25,26.75
59442,27.62,94.25,27.31,26.75
59548,27.62,94.25,27.25,26.75
59655,27.62,94.25,27.25,26.75
59761,27.62,94.00,27.25,26.75
59867,27.62,94.25,27.31,26.75
59973,27.62,94.25,27.31,26.75
60080,27.62,94.25,27.25,26.75
60186,27.62,94.25,27.25,26.75
60292,27.62,94.00,27.25,26.75
60398,27.62,94.25,27.31,26.75
60505,27.56,94.00,27.25,26.75
60611,27.62,94.00,27.25,26.75
60717,27.62,94.00,27.31,26.75
60823,27.62,94.00,27.25,26.75
60930,27.62,94.00,27.31,26.75
61036,27.62,94.00,27.25,26.75
61142,27.62,94.00,27.25,26.75
61248,27.62,94.00,27.25,26.75
61355,27.56,94.00,27.25,26.75
61461,27.62,94.00,27.31,26.75
61566,27.62,94.00,27.25,26.75
61673,27.62,93.75,27.25,26.75
61779,27.62,93.75,27.25,26.75
61886,27.62,93.75,27.31,26.75
61991,27.56,93.75,27.25,26.75
62098,27.62,93.75,27.25,26.75
62204,27.62,93.75,27.25,26.75
62311,27.62,93.75,27.25,26.75
62416,27.62,93.75,27.25,26.75
62523,27.62,93.75,27.25,26.75
62629,27.62,93.75,27.25,26.75
62736,27.62,94.00,27.31,26.75
62841,27.62,94.00,27.25,27.00
62948,27.62,94.00,27.25,26.75
63054,27.62,94.00,27.25,26.75
63161,27.62,94.00,27.25,27.00
63266,27.62,94.00,27.25,26.75
63373,27.62,94.00,27.25,26.75
63479,27.62,94.00,27.25,26.75
63586,27.69,94.00,27.25,26.75
63691,27.62,94.00,27.25,26.75
63798,27.62,94.00,27.25,26.75
63904,27.62,94.00,27.25,26.75
